Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0025111	705	282	289	5121	2307	2688	355	441	412	2611	3227	3295	1723.38	403	3044	7.603	2.927	19.783	4.14657465342271e-87	1.2311180146012e-83	0.0136	0.0147	0.0142	0.0142	TRUE	0.1914
FBgn0000071	204	72	84	1130	477	585	103	113	120	576	667	717	382.56	112	653	5.895	2.559	14.822	1.05248306474036e-49	9.37446665764236e-47	0.0086	0.0211	0.0158	0.0158	TRUE	0.1358
FBgn0001226	1493	470	654	4578	1692	2076	752	735	932	2334	2366	2545	1610.65	806	2415	3	1.585	11.923	9.01733259849147e-33	5.7369558181974e-30	0.0078	0.0148	0.0118	0.0118	TRUE	0.2125
FBgn0035189	123	48	34	665	381	334	62	75	48	339	533	409	244.46	62	427	6.895	2.786	11.757	6.4855760499552e-32	3.49064963434664e-29	0.0395	0.0257	0.0305	0.0305	TRUE	0.1363
FBgn0283437	7097	2315	2578	17634	7581	7047	3575	3618	3673	8992	10603	8637	6516.41	3622	9411	2.598	1.377	11.715	1.06275615979926e-31	5.25887173074003e-29	0.006	0.0133	0.0097	0.0097	TRUE	0.1492
FBgn0051092	124	39	37	514	214	245	62	61	53	262	299	300	172.97	59	287	4.83	2.272	10.984	4.56360154730477e-28	2.03239994909218e-25	0	0.031	0.0201	0.0201	TRUE	0.0749
FBgn0262733	382	113	97	1503	473	478	192	177	138	766	662	586	420.18	169	671	3.942	1.979	10.865	1.6831361350827e-27	6.51812763268767e-25	0.0191	0.0203	0.0199	0.0199	TRUE	0.1653
FBgn0011260	170	50	53	818	243	257	86	78	76	417	340	315	218.55	80	357	4.461	2.157	10.645	1.83223663101047e-26	6.7998881968376e-24	0.0133	0.0272	0.0215	0.0215	TRUE	0.2675
FBgn0037290	28	10	12	309	92	104	14	16	17	158	129	127	76.76	16	138	9.088	3.184	9.905	3.97379075338855e-23	1.14175981420748e-20	0	0.0539	0.0378	0.0378	TRUE	0.1878
FBgn0003748	1510	449	496	3127	1141	1242	761	702	707	1595	1596	1522	1146.95	723	1571	2.168	1.116	9.774	1.454891795664e-22	3.81138859528801e-20	0	0.0156	0.0083	0.0083	TRUE	0.0271
FBgn0029002	2372	620	788	5540	1748	2099	1195	969	1123	2825	2445	2573	1854.84	1096	2614	2.382	1.252	9.684	3.53174522051674e-22	8.73812629976184e-20	0.0073	0.0145	0.0113	0.0113	TRUE	0.1182
FBgn0261673	24	13	8	263	91	101	12	20	11	134	127	124	71.5	14	128	9.235	3.207	9.63	5.9453011429972e-22	1.3935472968599e-19	0	0.0569	0.0399	0.0399	TRUE	0.2984
FBgn0032405	61	19	18	292	106	129	31	30	26	149	148	158	90.22	29	152	5.22	2.384	9.013	2.0129750226631e-19	3.98434856152449e-17	0	0.0477	0.0293	0.0293	TRUE	0.0464
FBgn0001224	632	187	292	1741	636	858	318	292	416	888	890	1052	642.6	342	943	2.76	1.465	8.808	1.26839113671347e-18	2.30562446014427e-16	0.0177	0.0177	0.0177	0.0177	TRUE	0.375
